,Method,Eads,Reference,Structure
CH4//MgO,,,,
DFT,B3LYP,-50,trevethanBuildingBlocksMolecular2007,Dipod
DFT,HF,2,todnemMolecularAdsorptionMethane1999a,Dipod
DFT,BP,17,ferrariFTIRSpectroscopicDensity1998,Monopod
DFT,PBEsol,-300,manaeActivationCO2CH42022,
DFT,HSE(0.3)+MBD,-120,mazheikaNiSubstitutionalDefects2016a,Dipod
DFT,PBE+D2[Ne],-152,picciniEffectAnharmonicityAdsorption2014,Dipod
WFT,MP2+deltaCC,-134,boeseAccurateAdsorptionEnergies2016,
C2H6//MgO,,,,
DFT,HSE+D2[Ne],-127,boeseAccurateAdsorptionEnergies2016,
DFT,PBE+D2[Ne],-154,boeseAccurateAdsorptionEnergies2016,
WFT,MP2+deltaCC,-196,boeseAccurateAdsorptionEnergies2016,
CO//MgO,,,,
DFT,DFT,-9 to -282,valeroGoodPerformanceM062008e,
DFT,DFT,-175 to -408,r.rehakIncludingDispersionDensity2020,
WFT,Periodic LNO-CCSD(T),-207,yeAdsorptionVibrationalSpectroscopy2024a,
WFT,Cluster LNO-CCSD(T),-199,shiManyBodyMethodsSurface2023a,
WFT,Periodic MP2+deltaCC,-230,alessioChemicallyAccurateAdsorption2018,
WFT,Cluster CCSD(T),70,mazheikaNiSubstitutionalDefects2016,
WFT,Periodic CCSD,-398,mitraPeriodicDensityMatrix2022a,
WFT,RPA@PBE,-72,bajdichSurfaceEnergeticsAlkalineearth2015b,
WFT,RPA@PBE+rSE,-310,bajdichSurfaceEnergeticsAlkalineearth2015b,
N2O//MgO,,,,
DFT,B3LYP+D3,-258,huesgesDispersionCorrectedDFT2014,
DFT,B3LYP,>0,scagnelliCatalyticDissociationN2O2006,
WFT,Periodic MP2,-137,huesgesDispersionCorrectedDFT2014,
C6H6//MgO,,,,
DFT,B3LYP,-20,trevethanBuildingBlocksMolecular2007,
Monomer H2O//MgO,,,,
DFT,Gradient correct BP,-342,giordanoPartialDissociationWater1998a,
DFT,PW91,-500,carrascoDynamicIonPairs2008,
DFT,PBE,-340,huTrendsWaterMonomer2011,
DFT,DFT,-422 to -667,kebedeComparingVanWaals2017,
WFT,MP2 + deltaCC,-574,alessioChemicallyAccurateAdsorption2018,
WFT,DMC,-480,karaltiAdsorptionWaterMolecule2012,
WFT,RPA@PBE+rSE,-608,bajdichSurfaceEnergeticsAlkalineearth2015b,
WFT,RPA@PBE,-492,bajdichSurfaceEnergeticsAlkalineearth2015b,
NH3//MgO,,,,
DFT,LDA,-668,pughEnergeticsNH3Adsorption1994,
DFT,LDA,-867,nakajimaAmmoniaAdsorptionMgO1001996,
WFT,PCT,-608,alloucheVibrationalInfraredSpectrum1995,
CO2//MgO,,,,
WFT,MP2,870,pacchioniInitioClusterModel1994b,Chemisorbed
DFT,PBEsol,-1000,manaeActivationCO2CH42022,Chemisorbed
DFT,B3LYP,135,jensenCO2SorptionMgO2005b,Chemisorbed
DFT,B3LYP,-680,downingReactivityCO2MgO2013,Chemisorbed
DFT,HSE(0.3)+MBD,-640,mazheikaNiSubstitutionalDefects2016a,Chemisorbed
DFT,B3LYP,-380,baltrusaitisPeriodicDFTStudy2012a,Chemisorbed
DFT,PBE,-320,lvCO2AdsorptionKpromoted2024,Physisorbed
DFT,PW91,-90,cornuLewisAcidoBasicInteractions2012b,Physisorbed
DFT,PW91,-126,hammamiCO2Adsorption0012008a,Physisorbed
DFT,PBEsol,-120,manaeActivationCO2CH42022,Physisorbed
WFT,MP2,-340,pacchioniPhysisorbedChemisorbedCO21993a,Physisorbed
NO//MgO,,,,
DFT,PW91,-312,songRemarkablyStrongChemisorption2017a,Hollow
DFT,B3LYP,-520,yanagisawaThreeTypesAdsorptions1999b,Bent-Mg
DFT,GGA,-260,rodriguezStudiesBehaviorMixedmetal2001d,Upright-Mg
DFT,PW91,-464,mileticFirstPrinciplesCharacterizationNOx2003a,Bent-O
DFT,PW91,-312,schneiderDramaticCooperativeEffects2002a + schneiderQualitativeDifferencesAdsorption2004a,Bent-O
DFT,B3LYP,-30,luAdsorptionDecompositionNO1999b,Dimer
DFT,PBE,-150,limDensityFunctionalTheory2019,Bent-Bridge
DFT,B3LYP,-40,divalentinNOMonomersMgO2002a,Dimer
DFT,PW91,-297,anezNONO2Adsorption2017a,Upright-Mg
WFT,RPA@PBE,29,bajdichSurfaceEnergeticsAlkalineearth2015b,Bent-Mg
WFT,RPA@PBE+rSE,-360,bajdichSurfaceEnergeticsAlkalineearth2015b,Bent-Mg
Cluster CH3OH//MgO,,,,
DFT,DFT,-718,rodriguezAdsorptionMethanolMolecules2007b,Tetramer
DFT,B3LYP,-466,gayDensityFunctionalStudy2005a,Monolayer
DFT,vdW-DF,-640,manTheoreticalAspectsMethyl2017,Dimer
DFT,PBEsol+D3,-964,a.sainnaCombinedPeriodicDFT2021a,
DFT,PW91,-508,petitjeanQuantitativeInvestigationMgO2010a,
WFT,MP2,-598,brandaTheoreticalStudyCharge2002b,Parallel
Cluster H2O//MgO,,,,
DFT,PBE0,-610,huProtonTransferAdsorbed2010a,Dissociated dimer
DFT,PW91,-592,alvimDensityFunctionalTheorySimulation2012,Dissociated dimer
DFT,hybrid DFT,-720,dingHydrationStructureFlat2021,Dissociated dimer
Monolayer CH4//MgO,,,,
DFT,PW91,-18,drummondDensityFunctionalInvestigation2006a + stimacSimulatingCH4Physisorption2008,
DFT,DFT,-124 to -353,r.rehakIncludingDispersionDensity2020,
WFT,PCI-80,-79,todnemMolecularAdsorptionMethane1999a,
WFT,Periodic LMP2,-114,pisaniPeriodicLocalMP22008d,
WFT,MP2+deltaCC,-138,tosoniAccurateQuantumChemical2010,
WFT,MP2+deltaCC,-145,alessioChemicallyAccurateAdsorption2018,
WFT,RPA@PBE,-87,bajdichSurfaceEnergeticsAlkalineearth2015b,
WFT,RPA@PBE+rSE,-140,bajdichSurfaceEnergeticsAlkalineearth2015b,
Monolayer C2H6//MgO,,,,
DFT,DFT,-234 to -568,r.rehakIncludingDispersionDensity2020,
WFT,MP2+deltaCC,-242,alessioChemicallyAccurateAdsorption2018,
CH4//r-TiO2,,,,
DFT,DFT,-48 to -412,kubasSurfaceAdsorptionEnergetics2016c,
DFT,optB88-vdW,-360,tillotsonAdsorptionOrganicMolecules2015,
WFT,CCSD(T),-408,kubasSurfaceAdsorptionEnergetics2016c,
CO2//r-TiO2,,,,
DFT,DFT,-95 to -559,kubasSurfaceAdsorptionEnergetics2016c,
DFT,PBE+U+D3,-640,kovacicElectronicPropertiesRutile2022,
WFT,CCSD(T),-542,kubasSurfaceAdsorptionEnergetics2016c,
H2O//r-TiO2,,,,
DFT,DFT,-442 to -950,kubasSurfaceAdsorptionEnergetics2016c,
DFT,HSE06,-840,liuStructureDynamicsLiquid2010b,
DFT,HF,-1638,banduraAdsorptionWaterTiO22004a,
DFT,PBE-TS,-1032,sorescuCoadsorptionPropertiesCO22012,
WFT,MP2,-1492,stefanovichInitioStudyWater1999,
WFT,DLPNO-CCSD(T),-984,kubasSurfaceAdsorptionEnergetics2016c,
WFT,LNO-CCSD(T),-964,yeInitioSurfaceChemistry2024,
WFT,CCSD,-1390,schaferLocalEmbeddingCoupled2021b,
CH3OH//r-TiO2,,,,
DFT,DFT,-468 to -1145,kubasSurfaceAdsorptionEnergetics2016c,
DFT,GGA,-1490,kieuTrendsAdsorptionEnergy2002,
DFT,GGA,-1234,batesAdsorptionDissociationROH1998,
DFT,PBE,-760,langFirstPrinciplesStudyMethanol2014,
WFT,DLPNO-CCSD(T),-1106,kubasSurfaceAdsorptionEnergetics2016c,
H2O//a-TiO2,,,,
DFT,PW91,-740,vittadiniStructureEnergeticsWater1998,
DFT,PW91,-650,millerEffectsWaterFormic2011,
DFT,B3LYP,-1088,onalAdsorptionWaterAmmonia2006,
DFT,PBE,-977,zhaoStructurePropertiesWater2012,
WFT,DLPNO-CCSD(T),-1170,petersenWaterAdsorptionIdeal2020,
NH3//a-TiO2,,,,
DFT,optB88-vdW,-1200,koustNH3AdsorptionAnataseTiO21012018,
DFT,B3LYP,-1113,onalAdsorptionWaterAmmonia2006,
DFT,B3LYP,-1153,wanbayorAdsorptionCOH22010,
DFT,PW91,-1193,changAdsorptionConfigurationDissociative2009,
